UID,DV,Zip Code,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101,X102,X103,X104,X105
11,0,412105,,Pune,36,male,graduate,,755,55000,Yes,Yes,salaried,Fiserv India private limited,healthfin-overdraft,4586,60,310000,7316,71390,healthfin-overdraft,2,3,418,10.6,294282,-2,0,-2,9,12.33,25,2,-2,2,0,1,99.7,12,50.37,186385,0,RVLRPLUS,-2,0,-2,1,225556.15,0,1365266.5,66,2,225556.15,1,1.47,3,1,0,0,0,163420,25,4,1,4,0,50,-2,20,100,-1,23,0,80091,27,0,0,-1,80091,99.28,21,320,2,33,57.36,1,460335.5,1,10,28,0,2,5,17,2090469,4052785,0,0, -   ,"20,93,753",2093753,0,2093753,0,1,21,771
12,0,201009,,Delhi NCR,24,male,graduate,,734,25000,Yes,Yes,salaried,WIPRO TECHNOLOGY SERVICES LIMITED,term,4952,13,50000,2360,3530,term,0,-2,226,-1,-1,-2,-1,0,1,-1,-1,-2,0,1,-1,2,-1,9,-1,-1,22,NOBC,0,-1,-1,-1,0,12,0,75,-1,-1,-1,20.83,-1,-1,27.91,-1,-1,-1,17,-1,15,0,2,-1,0,16,-1,0,-1,2,-1,18,4,0,1,-1,-1,17,-1,2,43,-1,-1,-1,-1,5,73,0,0,1,17,1226255,232559,0,24423,"24,423","96,345",1257989,1161644,96345,0,0,18,662
13,0,411028,,Pune,60,male,under-graduate,,753,75000,Yes,Yes,self-employed,BSI GROUP INDIA PRIVATE LIMITED,house-owner-loan,2318,24,150000,3540,42818,house-owner-loan,1,4,326,-2,-2,0,-2,0,3,-2,0,0,0,3,0,0,0,11,0,0,14,INACTIVE,0,0,-2,0,0,7,0,64,0,-2,999,13.85,999,0,21.88,999,-2,-2,19,12,9,2,0,-2,0,17,-2,0,-2,1,-2,21,3,2,1,0,-2,14,-2,4,32,0,999,-2,0,3,48,1,12,5,5,3745300,640288,0,24457,"24,457","5,18,623",3822130,3303507,518623,0,1,9,678
14,1,411038,,Pune,35,male,graduate,,674,75000,Yes,Yes,self-employed,Datwyler IT Services India LLP,house-owner-loan,54,60,400000,9440,36648,house-owner-loan,0,0,197,-5,6581,-2,0,-2,2,14.37,50,0,-2,1,0,1,92.13,11,0,46988,0,TRANPLUS,-2,0,-2,1,61831.2,0,61831.2,52,1,61831.2,9,0,11,1,0,7,0,47913,12,12,0,2,0,0,-2,10,-2,-1,18,0,90,14,0,0,-1,0,0,10,191,2,27,28.85,9,61831.2,1,6,21,0,4,4,9,6350000,865435,0,0, -   ,"3,23,028",6297794,5974766,323028,0,1,12,765
15,0,411040,,Pune,33,male,graduate,,715,55125,Yes,Yes,salaried,,house-owner-loan,5016,60,350000,8260,83766,house-owner-loan,0,1,378,-2,104169,-2,0,-2,1,0,0,1,-2,1,0,1,132.66,6,0,265322,56,INACTIVE,-2,0,1,1,0,6,0,63,1,0,0,26.56,0,1,20,0,0,265322,5,1,17,2,3,133,-2,2,-9,0,20,4,265322,9,5,0,0,0,0,5,458,1,30,114.9,0,0,1,10,16,0,3,3,5,5080414,1966846,94543,170012,"2,64,555","14,36,918",6472096,5035178,1436918,0,1,7,630
16,0,411014,,Pune,30,male,under-graduate,,3,30000,Yes,Yes,self-employed,YES BANK LIMITED,house-owner-loan,3177,60,250000,5900,52677,house-owner-loan,-2,-2,300,-1,-1,-2,-1,-2,-2,-1,-1,-2,-2,-2,-1,-2,-1,0,-1,-1,0,NOBC,-2,-1,0,-1,-2,0,-2,15,-1,-1,-1,0,-1,-1,0,-1,-1,-1,1,-1,0,0,0,-1,-2,1,-1,-1,-1,0,-1,2,0,-2,-1,-1,-1,1,-1,-2,6,-1,-1,-1,-1,0,16,0,0,1,1,1495000,250000,0,0, -   ,"2,50,000",1790927,1540927,250000,0,1,1,766
17,0,410061,,Pune,41,male,graduate,,726,100000,Yes,Yes,self-employed,VODAFONE INDIA SERVICES PRIVATE LIMITED,term,21965,31,450000,10620,52749,term,0,2,256,-2,165267,34170,1,8,1,75.72,14,0,102510,2,0,1,100.99,10,93.35,200318,11,REVOLVER,3,0,1,3,248090.1,8,194765.1,131,3,138067.1,0,6.3,0,3,12.31,0,3,93353,32,4,8,7,1,93,205020,25,100,-7,13,1,93353,36,4,5,0,93353,71.23,28,452,14,63,75.15,0,138067.1,3,11,114,10,11,8,19,12500000,453783,21312,18113,"39,425","2,40,147",10385621,10100000,240147,0,0,27,750
18,0,411014,,Pune,40,male,others,,767,60000,Yes,Yes,self-employed,,house-owner-loan,6943,60,500000,11800,99121,house-owner-loan,0,1,264,1.04,83437,0,0,0,3,26.99,0,2,0,1,0,2,103.3,11,103.3,345472,6,RVLRPLUS,0,1,0,5,33640.2,3,208986.55,127,5,33640.2,0,2.38,0,5,4.62,0,2,57775,11,4,3,7,0,79,0,4,45,-1,23,0,47674,16,1,4,0,279465,92.95,10,344,13,62,83.2,0,208986.55,5,11,52,0,9,6,10,11900000,1480912,23268,22689,"45,957","12,80,032",8237529,6957497,1280032,0,2,14,700
19,0,600073,,Chennai,32,male,post-graduate,,756,150000,Yes,Yes,self-employed,,house-owner-loan,14538,60,1000000,23600,206766,house-owner-loan,2,9,206,0.77,1561376,791169,0,37,11,11.46,0,6,2870779,0,0,3,109.47,12,109.55,2049452,13,REVOLVER,7,0,1,6,15100000,22,23300000,324,8,3246295,0,10.77,0,6,13.33,0,0,170426,44,9,35,14,2,109,18500000,28,40,0,38,2,170426,45,6,12,1,1437080,89.4,30,392,38,159,82.02,0,6176360.55,7,12,213,8,10,10,24,11400000,6590364,70263,258549,"3,28,812","51,46,536",10602517,5455981,5146536,3550420,1,39,657
20,1,410206,,Mumbai,31,male,graduate,,722,80280,Yes,Yes,self-employed,AMUL INDUSTRIES PRIVATE LIMITED,term,17602,43,500000,1180,62644,term,0,1,300,-2,29582,0,0,0,1,0,0,0,0,1,0,2,113.63,8,-2,44317,7,RVLRPLUS,0,0,0,1,6978.65,3,170688.7,45,1,10150.65,3,10.87,3,1,11.54,3,0,79958,14,4,5,1,0,114,0,13,-2,0,32,1,44317,15,1,1,0,0,-2,11,395,3,23,100.61,3,68191.7,1,11,76,0,7,4,10,6523640,728407,92709,0,"92,709","5,33,741",6412064,5878323,533741,0,1,13,739
21,1,401107,,Mumbai,34,female,graduate,,-1,48413,Yes,Yes,self-employed,HUNGRY BEAVER CLUB LLP,mas-term,9435,30,200000,4720,21420,mas-term,-2,-2,-2,-2,-2,-1,-2,-1,-2,-2,0,-2,-1,0,0,0,0,-2,0,0,0,INACTIVE,-1,0,-1,0,-2,-2,-2,1,0,-2,999,-2,999,0,-2,999,-2,-2,2,12,-2,1,0,-2,-1,0,-9,-1,-2,0,-2,2,0,-2,-1,0,-2,1,-2,-2,1,0,999,-2,0,-2,12,0,5,0,1,0,0,0,0, -   , -   ,0,0,0,1703237,0,2,721
22,0,400102,,Mumbai,45,male,under-graduate,,719,,Yes,Yes,self-employed,JAYA HIND SCIAKY LTD,term,10207,42,300000,7080,37687,term,0,3,282,-2,-2,0,-2,1,3,-2,-7,0,4882,2,-7,1,-2,11,-2,-2,11,INDTRM,1,0,-1,-2,0,4,4588,51,-2,-2,13,8.16,19,-2,13.33,13,-2,-2,18,-2,4,1,1,-2,4882,16,-2,0,-2,2,-2,18,2,2,0,0,-2,16,289,3,30,-2,19,-2,-2,2,51,0,6,0,12,0,1095836,0,30247,"30,247","8,71,274",871274,0,871274,143148,1,13,662
23,0,400068,,Mumbai,34,female,graduate,,712,50000,Yes,Yes,self-employed,DMI DRAEXLMAIER MANUFACTURING INDIA PRIVATE LIMITED,term,13267,41,375000,8850,42424,term,0,0,322,-1,-1,0,-1,0,0,-1,-1,0,0,3,-1,0,-1,3,-1,-1,20,NOBC,0,-1,-1,-1,0,2,0,13,-1,-1,-1,30.77,-1,-1,33.33,-1,-1,-1,5,-1,4,0,0,-1,0,5,-1,-1,-1,0,-1,5,1,1,1,-1,-1,3,-1,3,6,-1,-1,-1,-1,5,40,0,3,2,3,236000,411325,2996,6438,"9,434","3,67,068",497148,130080,367068,0,1,4,668
24,0,401107,,Mumbai,38,male,graduate,,698,88237,Yes,Yes,self-employed,,term,8118,68,325000,7670,29153,term,0,-2,389,-2,48598,-2,0,0,0,0,0,-2,-2,1,0,1,132.65,7,-2,83567,29,REVOLVER,-2,0,-1,1,0,5,0,32,1,0,2,19.35,2,1,27.78,2,0,83567,14,3,6,2,3,133,0,12,-2,0,18,4,83567,14,4,0,0,0,-2,6,386,1,18,107.96,2,0,1,7,83,12,9,6,5,634996,128446,7000,22160,"29,160","94,665",101665,7000,94665,0,0,11,661
25,1,411038,,Pune,38,male,graduate,,742,30000,Yes,Yes,self-employed,BNY MELLON INTERNATIONAL OPERATIONS (INDIA) PVT. LTD,term,11473,57,400000,9440,30012,term,0,0,368,1.16,311747,-1,0,-1,1,24.06,0,5,-1,2,0,1,113.71,9,116.44,305070,17,REVOLVER,-1,0,-1,3,356134.15,3,800271.6,58,3,356134.15,0,8.62,0,3,10,0,0,116038,6,1,5,5,0,107,-1,0,68,0,25,1,116038,6,1,4,0,158397,51.92,6,368,13,30,93.85,0,800271.6,3,12,23,0,6,0,5,0,372216,0,6394,"6,394","3,05,070",305070,0,305070,31,0,5,656
26,0,641005,SOUTH,Coimbatore,30,male,graduate,,675,38000,Yes,Yes,salaried,CREDENCE RESOURCE MANAGEMENT PRIVATE LIMITED,term,5865,48,200000,4720,60621,term,4,2,344,-2,298065,0,1,6,10,100,33,0,0,2,0,1,109.89,12,113.01,237253,6,REVOLVER,0,1,-1,2,747418.2,8,982619.3,111,2,156068.2,0,7.21,0,2,13.33,0,5,150307,46,3,8,3,1,113,492019,43,-2,1,11,2,150307,47,3,1,2,150307,98.77,46,354,7,60,90.17,0,148001.3,2,7,123,0,0,1,45,1777980,5124907,0,44983,"44,983","31,94,226",4987269,1793043,3194226,0,2,44,769
27,0,400005,,Mumbai,50,male,graduate,,684,67574,Yes,Yes,salaried,Maharashtra Rajya Parivan mahamandal,emi-free,4958,60,400000,9440,137962,emi-free,2,10,216,-2,47051,-2,1,1,7,100,10,0,-2,1,0,2,111.18,12,0,202089,15,RVLRPLUS,-2,0,-2,3,93947.65,4,263760.65,123,3,73530.65,3,20.29,3,3,9.09,2,1,-2,74,9,28,20,6,-2,129896,48,72,7,22,7,52360,75,11,2,10,0,0,68,350,5,39,83.79,3,48756.75,3,11,265,4,4,3,50,109696,4227765,434,0,434,"10,62,357",1070344,7987,1062357,180662,1,52,731
28,0,411046,,Pune,60,male,graduate,,789,50000,Yes,Yes,salaried,RR Donnelley India Outsource P Ltd,house-owner-loan,2165,60,200000,4720,65325,house-owner-loan,0,0,257,-2,-2,-2,-2,-2,0,-2,-7,0,-2,0,-7,0,-2,2,-2,-2,40,NOBC,-2,0,1,-2,-2,2,-2,29,-2,-2,-2,6.67,-2,-2,16.67,-2,-2,-2,4,-2,2,1,0,-2,-2,3,-2,1,-2,1,-2,5,2,0,1,0,-2,4,-2,0,12,-2,-2,-2,-2,0,9,0,3,1,2,1400000,900000,0,13673,"13,673","8,62,935",1489975,627040,862935,0,1,2,691
29,1,110086,,Delhi NCR,30,male,graduate,,682,,Yes,Yes,self-employed,,paytm-term-loan,10574,24,200000,4956,53776,paytm-term-loan,0,5,366,0.12,552975,-2,0,0,4,36.57,21,4,0,2,7,1,88.46,10,86.29,1712079,8,TRANPLUS,0,0,-1,5,341966.45,2,1044645.95,119,7,341966.45,0,3.25,0,4,3.57,0,2,465680,25,1,4,14,0,-2,0,11,45,-1,49,0,464680,25,2,5,1,1327161,77.52,21,354,15,54,37.36,0,1036901.95,5,12,42,0,0,2,19,92400,2965292,0,19000,"19,000","18,88,369",1911769,23400,1888369,0,2,19,720
30,0,400102,,Mumbai,36,female,graduate,,627,73000,Yes,Yes,salaried,,overdraft,2269,60,150000,3540,56470,overdraft,2,5,196,2.03,133299,0,0,0,6,1.53,0,4,0,1,0,2,117.04,12,104.57,663011,34,REVOLVER,0,0,-1,5,0,17,0,133,5,0,0,31.39,0,5,27.42,0,0,151290,32,4,43,11,6,-2,0,20,100,0,138,9,116330,32,11,1,0,69540,25.99,29,352,4,59,111.04,0,0,5,12,85,3,7,0,20,0,5948041,0,452631,"4,52,631","30,40,677",3040677,0,3040677,79940,1,19,628
31,0,560068,SOUTH,Bangalore,30,male,graduate,,617,50092,Yes,Yes,salaried,Srimathi sundaravalli Memorial educational trust,term,6921,66,275000,6490,80282,term,1,3,380,0.53,169585,-2,0,-2,2,29.12,0,2,-2,2,0,1,123.23,11,124.04,384490,2,REVOLVER,-2,0,-1,3,129081.1,2,494414.6,116,3,129081.1,0,3.51,0,3,3.28,0,2,62884,47,4,4,6,0,104,-2,39,36,-1,49,0,62534,47,1,3,-7,219448,62.15,47,374,10,58,104.85,0,494414.6,3,12,131,0,0,0,44,0,1958124,0,43913,"43,913","7,05,363",705363,0,705363,128563,2,42,678
32,0,400602,,Mumbai,55,male,professional,,564,128000,Yes,Yes,salaried,CSG SYSTEMS INTERNATIONAL (INDIA) PRIVATE LIMITED,emi-free,9270,60,600000,14160,225270,emi-free,0,1,204,-2,5670,36673,0,7,0,0,0,1,110019,1,0,2,132.65,8,0,53059,16,INACTIVE,3,0,-2,1,0,5,0,69,1,0,0,27.4,0,1,14.29,0,0,53059,53,1,20,5,6,133,256711,48,-2,3,77,9,53059,56,9,0,3,0,0,28,408,1,32,131.42,0,0,1,9,92,2,6,3,9,12300000,7094276,0,331699,"3,31,699","66,13,369",6613369,0,6613369,1178148,1,11,690
33,0,560068,SOUTH,Bangalore,40,male,graduate,,655,56889,Yes,Yes,salaried,VISA CONSOLIDATED SUPPORT AND SERVICES PVT LTD,term,8861,72,350000,8260,90350,term,3,7,286,-2,62108,-2,0,0,6,0,0,1,-2,2,0,1,-2,12,-2,126041,33,REVOLVER,-2,0,2,-2,0,13,0,145,-2,0,-2,23.49,-2,-2,19.4,-2,0,126041,24,1,35,1,6,-2,0,22,100,1,34,6,126041,27,9,1,2,126041,100,20,440,5,63,-2,-2,0,-2,12,128,1,2,5,18,5929000,2366160,101489,73386,"1,74,875","19,29,406",8143381,6213975,1929406,26213,1,22,690
34,1,410218,,Navi Mumbai,32,male,graduate,,629,70000,Yes,Yes,salaried,INFOSYS LIMITED,term,7344,48,250000,5900,75550,term,0,0,200,1.98,600,-2,0,3,0,1.06,0,0,-2,0,0,2,149.67,8,-2,312532,18,INDTRM,-2,0,-1,1,0,4,0,51,1,0,11,8.93,11,1,14.29,11,0,93110,40,12,5,3,3,-2,94553,37,-2,0,45,5,-2,40,7,0,1,0,-2,39,375,0,24,113.81,11,0,1,1,160,1,4,0,33,0,2417496,0,213249,"2,13,249","7,68,326",768326,0,768326,0,2,31,659
35,0,201301,,Delhi NCR,32,male,graduate,,682,69000,Yes,Yes,salaried,EPIC TECHNOLOGY RESEARCH PRIVATE LIMITED,creditcard-takeover,1875,12,125000,2950,22500,creditcard-takeover,2,7,184,0.08,109448,0,0,8,5,4.19,0,8,0,0,0,3,283.67,12,104.47,817464,20,REVOLVER,0,0,-2,8,0,47,0,321,8,0,0,40.37,0,8,33.81,0,0,144582,159,4,132,11,28,107,16401,148,100,7,26,29,129282,164,32,6,8,268440,71,157,376,24,135,194.15,0,0,8,12,277,3,0,7,113,804836,5267452,0,984730,"9,84,730","26,15,168",3077678,462510,2615168,26667,2,118,682
36,1,201301,,Delhi NCR,37,male,graduate,,647,60000,Yes,Yes,salaried,SAPIENS TECHNOLOGIES INDIA PRIVATE LIMITED,creditcard-takeover,750,12,50000,2360,9000,creditcard-takeover,3,7,294,0.54,97406,0,0,0,6,14.94,0,2,0,0,0,3,108.14,12,93.2,635934,38,RVLRPLUS,0,0,-1,4,0,18,0,139,4,0,0,31.72,0,4,30,0,0,182033,29,9,46,10,3,100,0,19,64,3,28,7,165650,29,11,3,5,137932,68.63,27,328,15,58,95.99,0,0,4,12,99,0,0,1,15,68000,2086705,4393,158736,"1,63,129","14,02,597",1434986,32389,1402597,-200,1,15,651
37,1,560040,SOUTH,Bangalore,30,male,graduate,,678,54000,Yes,Yes,salaried,W S ATKINS (INDIA) PRIVATE LIMITED,creditcard-takeover,4500,12,300000,7080,54000,creditcard-takeover,4,2,280,1.4,426467,-2,0,3,12,26.91,22,3,0,1,0,2,100.39,12,98.31,720683,0,RVLRPLUS,0,0,-1,4,910748.95,0,1781775.9,109,4,689264.95,0,0.88,0,4,0,0,1,197652,18,5,1,9,0,97,275566,9,75,-1,47,0,186570,18,0,2,-1,248128,51.14,18,326,7,48,79.35,0,1397291.9,4,12,48,0,1,0,16,0,3960269,0,0, -   ,"28,33,294",2833294,0,2833294,0,1,15,746
38,1,560002,SOUTH,Bangalore,26,male,others,,636,39000,Yes,Yes,salaried,PROCESS NINE TECHNOLOGIES PVT LTD,creditcard-takeover,1500,12,100000,2360,18000,creditcard-takeover,1,3,249,-2,28169,-2,2,0,6,69.67,0,1,0,1,25,2,100.73,10,0,134598,14,TRANSACTOR,0,0,-1,2,55586.85,0,71422.35,46,2,55586.85,2,7.84,2,1,0,2,3,32830,7,9,4,4,0,0,0,3,-2,-1,22,0,0,7,1,0,1,0,0,7,275,0,20,33.03,2,71422.35,2,7,34,0,0,0,7,0,652239,0,0, -   ,"1,34,149",134149,0,134149,0,1,6,730
39,1,600100,,Chennai,35,male,professional,,700,48650,Yes,Yes,salaried,REGENESYS INSTITUTE OF MANAGEMENT PRIVATE LIMITED,creditcard-takeover,2625,12,175000,4130,31500,creditcard-takeover,7,7,290,2.74,329197,-2,0,2,27,27.93,9,6,0,2,0,1,109.41,12,160.5,759670,0,RVLRPLUS,0,0,-2,6,966102.8,6,1566518.65,295,7,831370.8,0,2.05,0,6,3.92,0,2,132467,65,6,6,11,0,102,134732,53,43,-1,20,0,132467,67,0,8,-1,671499,100,56,334,21,147,65.95,0,1431786.65,7,12,91,4,2,6,49,1796068,3915072,590,33047,"33,637","28,82,009",4003692,1121683,2882009,194516,1,54,706
40,1,421306,,Mumbai,34,male,post-graduate,,656,35000,Yes,Yes,salaried,EAGLE HUNTER SOLUTIONS LIMITED,creditcard-takeover,750,12,50000,2360,9000,creditcard-takeover,0,0,388,-2,18452,-2,0,-2,0,6.01,0,2,-2,3,0,0,139.05,5,139.05,49267,50,REVOLVER,-2,0,-1,1,0,6,0,29,1,0,0,40,0,1,50,0,0,34561,4,1,12,2,1,139,-2,2,65,0,100,1,23639,4,2,2,0,49267,100,4,388,6,12,98.52,0,0,1,12,16,0,0,0,3,0,135342,0,8247,"8,247","99,267",99267,0,99267,0,1,2,612
41,1,110019,,Delhi NCR,36,male,post-graduate,,685,37000,Yes,Yes,salaried,Arvind Lifestyle Brands Limited,creditcard-takeover,750,12,50000,2360,9000,creditcard-takeover,1,1,170,3.52,32085,-2,1,3,4,62.19,0,1,-2,0,0,3,189.21,12,110.42,110660,17,RVLRPLUS,-2,0,-1,2,0,5,0,56,2,0,0,23.33,0,2,20,0,2,66249,41,6,14,4,4,110,41925,37,100,1,15,4,66249,41,7,1,3,66249,100,28,408,3,22,143.47,0,0,2,11,81,0,0,1,22,48249,899877,31360,39899,"71,259","1,74,057",222306,48249,174057,-9,1,22,712
42,1,110033,,Delhi NCR,28,male,graduate,,717,36000,Yes,Yes,salaried,TECH MAHINDRA LIMITED,creditcard-takeover,1500,12,100000,2360,18000,creditcard-takeover,2,2,252,1.05,94447,545,0,15,6,25.91,0,2,545,0,17,3,122.5,12,122.5,245007,6,REVOLVER,1,0,-1,4,411714.45,6,499387.45,147,4,123549.45,0,4.03,0,4,8,0,1,50878,48,1,6,6,1,105,302696,41,90,1,13,2,49186,48,3,6,1,245007,100,47,421,16,70,105.29,0,211222.45,4,12,142,2,0,0,47,0,2085084,0,50575,"50,575","9,45,166",945166,0,945166,0,1,46,724
