ID,product,amount,interest,installment,period,adminfee,servicefee,totinterest,paymentmethod,gender,marital_status,age,Employer,jobtitle,income,DV,age_group,income_group,total_fees,amount_to_totint,income_to_install,amount_to_install,income_to_age,amount_to_totfees
27,Study Loan,39999,23,1636.45,36,735,42,16666.2,Government Payroll,Female,Single,41,Kwa-Zulu Natal Government Health,NURSE,26597.93,0,"(31.0, 41.0]","(25000.0, 30000.0]",777,2.399863204,16.24350667,24.42761611,633.2840476,51.4125964
28,Study Loan,39999,23,1627.87,36,735,42,16357.47,Government Payroll,Male,Married,43,Sap,POLICE OFFICER,22727.44,0,"(41.0, 44.0]","(17000.0, 25000.0]",777,2.445155323,13.95288758,24.55628749,516.5327273,51.4125964
29,Study Loan,39999,23,1628.81,36,735,42,16391.22,Government Payroll,Female,Single,51,Sap,POLICE OFFICER,40974.94,0,"(49.0, 52.0]","(35000.0, 10000000000.0]",777,2.440120984,25.14093054,24.54212454,787.9796154,51.4125964
30,Study Loan,39999,23,1624.08,36,735,42,16220.72,Government Payroll,Female,Single,45,North West Health,Professional Nurse,25986.71,0,"(44.0, 49.0]","(25000.0, 30000.0]",777,2.465768118,15.99103429,24.61355749,564.9284783,51.4125964
31,Study Loan,39999,23,1622.17,36,735,42,16152.08,Government Payroll,Female,Widowed,49,Eastern Cape Education Department,EDUCATOR,30398.25,0,"(44.0, 49.0]","(30000.0, 35000.0]",777,2.476246016,18.72770566,24.6425205,607.965,51.4125964
32,Study Loan,39999,23,1637.4,36,735,42,16700.59,Government Payroll,Female,Single,50,NATIONAL DEPARTMENT OF CORRECTIONAL SERVICES,ADMIN OFFICER,26623,0,"(49.0, 52.0]","(25000.0, 30000.0]",777,2.394921681,16.24938965,24.41345215,522.0196078,51.4125964
33,Study Loan,39999,23,1632.65,36,735,42,16529.47,Government Payroll,Female,Divorced,57,Sap,CAPTAIN,38812.19,0,"(52.0, 100.0]","(35000.0, 10000000000.0]",777,2.419713414,23.75795917,24.48443669,669.1756897,51.4125964
34,Study Loan,39999,23,1630.73,36,735,42,16459.91,Government Payroll,Male,Single,29,Northern Cape Department Health,Radiographer,34705.23,0,"(0.0, 31.0]","(30000.0, 35000.0]",777,2.429938564,21.26897832,24.51324668,1156.841,51.4125964
35,Study Loan,39999,23,1625.99,36,735,42,16289.4,Government Payroll,Male,Married,49,NATIONAL DEPARTMENT OF CORRECTIONAL SERVICES,other,15519.25,0,"(44.0, 49.0]","(12000.0, 17000.0]",777,2.455372489,9.538626543,24.58466247,310.385,51.4125964
36,Study Loan,39999,23,1637.4,36,735,42,16700.59,Government Payroll,Female,Married,44,GAUTENG DEPARTMENT OF HEALTH,Professional Nurse,32893.75,0,"(41.0, 44.0]","(30000.0, 35000.0]",777,2.394921681,20.07675171,24.41345215,730.9722222,51.4125964
37,Study Loan,39999,23,1636.45,36,735,42,16666.2,Government Payroll,Female,Single,42,Kwa-Zulu Natal Provincial Government Transport,SENIOR ADMINISTRATOR,7991.17,0,"(41.0, 44.0]","(0.0, 12000.0]",777,2.399863204,4.880252832,24.42761611,185.8411628,51.4125964
38,Study Loan,39999,23,1635.47,36,735,42,16631.04,Government Payroll,Female,Divorced,44,Western Cape Health,NURSE,29062.67,0,"(41.0, 44.0]","(25000.0, 30000.0]",777,2.404936496,17.7593662,24.44224459,645.8371111,51.4125964
39,Study Loan,39999,23,1636.45,36,735,42,16666.2,Government Payroll,Female,Married,55,GAUTENG DEPARTMENT OF HEALTH,other,33509.62,0,"(52.0, 100.0]","(30000.0, 35000.0]",777,2.399863204,20.46451495,24.42761611,598.3860714,51.4125964
40,Study Loan,39999,23,1629.75,36,735,42,16425.56,Government Payroll,Female,Married,49,NORTH WEST EDUCATION AND SPORTS DEVELOPMENT,other,19105.75,0,"(44.0, 49.0]","(17000.0, 25000.0]",777,2.43501987,11.71592825,24.52797792,382.115,51.4125964
41,Study Loan,39999,23,1626.89,36,735,42,16322.59,Government Payroll,Female,Single,62,Mpumalanga Education,other,52725.5,0,"(52.0, 100.0]","(35000.0, 10000000000.0]",777,2.450380094,32.3888592,24.57107053,836.9126984,51.4125964
42,Study Loan,39999,23,1625.99,36,735,42,16289.4,Government Payroll,Female,Married,50,Western Cape Health,NURSE,39403.94,0,"(49.0, 52.0]","(35000.0, 10000000000.0]",777,2.455372489,24.2189196,24.58466247,772.6262745,51.4125964
43,Study Loan,39999,23,1636.45,36,735,42,16666.2,Government Payroll,Female,Divorced,44,Sap,OFFICER,34357.12,0,"(41.0, 44.0]","(30000.0, 35000.0]",777,2.399863204,20.982088,24.42761611,763.4915556,51.4125964
44,Study Loan,39999,23,1629.75,36,735,42,16425.56,Government Payroll,Female,Married COP,50,Sap,CAPTAIN,36159.5,0,"(49.0, 52.0]","(35000.0, 10000000000.0]",777,2.43501987,22.17353978,24.52797792,709.0098039,51.4125964
45,Study Loan,39999,23,1628.81,36,735,42,16391.22,Government Payroll,Female,Married COP,48,Gauteng Department Education,EDUCATOR,23450,0,"(44.0, 49.0]","(17000.0, 25000.0]",777,2.440120984,14.38818022,24.54212454,478.5714286,51.4125964
46,Study Loan,39999,23,1623.13,36,735,42,16186.39,Government Payroll,Female,Single,42,KZN PROVINCIAL GOVERNMENT OF EDUCATION,EDUCATOR,28373.94,0,"(41.0, 44.0]","(25000.0, 30000.0]",777,2.470997486,17.47023945,24.62795466,659.8590698,51.4125964
47,Study Loan,39999,23,1631.69,36,735,42,16494.83,Government Payroll,Female,Single,46,North West Social Development,other,31642.19,0,"(44.0, 49.0]","(30000.0, 35000.0]",777,2.42479463,19.38040289,24.49883321,673.2380851,51.4125964
48,Study Loan,39999,23,1628.81,36,735,42,16391.22,Government Payroll,Female,Married,51,Sap,other,18256.69,0,"(49.0, 52.0]","(17000.0, 25000.0]",777,2.440120984,11.20172904,24.54212454,351.0901923,51.4125964
49,Study Loan,39999,23,1625.99,36,735,42,16289.4,Government Payroll,Female,Married,45,Department Labour,other,45062.44,0,"(44.0, 49.0]","(35000.0, 10000000000.0]",777,2.455372489,27.69681436,24.58466247,979.6182609,51.4125964
50,Study Loan,39999,23,1625.99,36,735,42,16289.4,Government Payroll,Male,Married,54,Mpumalanga Finance,DATA TECHNOLOGIST,46856.1,0,"(52.0, 100.0]","(35000.0, 10000000000.0]",777,2.455372489,28.79925507,24.58466247,851.9290909,51.4125964
51,Study Loan,39999,23,1624.08,36,735,42,16220.72,Government Payroll,Female,Married,56,Gauteng Department Education,Teacher,30896.6,0,"(52.0, 100.0]","(30000.0, 35000.0]",777,2.465768118,19.01235631,24.61355749,542.045614,51.4125964
52,Study Loan,39999,23,1622.17,36,735,42,16152.08,Government Payroll,Male,Single,56,GAUTENG DEPARTMENT OF HEALTH,other,10003.92,0,"(52.0, 100.0]","(0.0, 12000.0]",777,2.476246016,6.163199172,24.6425205,175.5073684,51.4125964
53,Study Loan,39999,23,1639.29,36,735,42,16768.69,Government Payroll,Female,Married,39,MPUMALANGA COOPERATIVE GOVERNANCE AND TRADITIONAL AFFAIRS,CDW,21931.44,0,"(31.0, 41.0]","(17000.0, 25000.0]",777,2.385196149,13.37046498,24.38532211,548.286,51.4125964
54,Study Loan,39999,23,1638.37,36,735,42,16735.25,Government Payroll,Female,Single,45,Western Cape Education,other,24771.75,0,"(44.0, 49.0]","(17000.0, 25000.0]",777,2.389961909,15.11053026,24.39900694,538.5163043,51.4125964
55,Study Loan,39999,23,1633.6,36,735,42,16562.65,Government Payroll,Female,Single,46,Eastern Cape Department Health,other,57183.66,0,"(44.0, 49.0]","(35000.0, 10000000000.0]",777,2.414866289,34.9832742,24.47020678,1216.673617,51.4125964
56,Study Loan,39999,23,1628.81,36,735,42,16391.22,Government Payroll,Female,Single,59,Gauteng Department Education,GENERAL WORKER,11521.94,0,"(52.0, 100.0]","(0.0, 12000.0]",777,2.440120984,7.069498899,24.54212454,192.0323333,51.4125964
57,Study Loan,39999,23,1625.99,36,735,42,16289.4,Government Payroll,Female,Single,55,Eastern Cape Education Department,Teacher,29384.19,0,"(52.0, 100.0]","(25000.0, 30000.0]",777,2.455372489,18.06046134,24.58466247,524.7176786,51.4125964
58,Study Loan,39999,23,1631.69,36,735,42,16494.83,Government Payroll,Female,Married,49,Mpumalanga Education,Teacher,27751.69,0,"(44.0, 49.0]","(25000.0, 30000.0]",777,2.42479463,16.99752556,24.49883321,555.0338,51.4125964
59,Study Loan,39999,23,1630.73,36,735,42,16459.91,Government Payroll,Female,Married,47,Eastern Cape Education Department,EDUCATOR,30519.19,0,"(44.0, 49.0]","(30000.0, 35000.0]",777,2.429938564,18.70357841,24.51324668,635.8164583,51.4125964
60,Study Loan,39999,23,1623.13,36,735,42,16186.39,Government Payroll,Male,Married,50,NORTH WEST EDUCATION AND SPORTS DEVELOPMENT,DEPARTMENTAL HEAD,32927.19,0,"(49.0, 52.0]","(30000.0, 35000.0]",777,2.470997486,20.2737404,24.62795466,645.6311765,51.4125964
61,Study Loan,39999,23,1622.17,36,735,42,16152.08,Government Payroll,Female,Single,36,Gauteng Social Development,other,13808.19,0,"(31.0, 41.0]","(12000.0, 17000.0]",777,2.476246016,8.506927802,24.6425205,373.1943243,51.4125964
62,Study Loan,39999,23,1621.19,36,735,42,16117.43,Government Payroll,Female,Divorced,52,Western Cape Health,NURSE,26866.5,0,"(49.0, 52.0]","(25000.0, 30000.0]",777,2.481569235,16.56187006,24.65740758,506.9150943,51.4125964
63,Study Loan,39999,23,1645.47,36,735,42,16990.87,Government Payroll,Female,Married,54,Mpumalanga Education,other,29384.19,0,"(52.0, 100.0]","(25000.0, 30000.0]",777,2.354008123,17.8467813,24.29379217,534.258,51.4125964
64,Study Loan,39999,23,1641.65,36,735,42,16853.24,Government Payroll,Female,Widowed,60,Gauteng Department Education,other,29646.25,0,"(52.0, 100.0]","(25000.0, 30000.0]",777,2.373230712,18.04781907,24.35028764,486.0040984,51.4125964
65,Study Loan,39999,23,1645.47,36,735,42,16990.87,Government Payroll,Female,Married,54,Mpumalanga Education,other,29384.19,0,"(52.0, 100.0]","(25000.0, 30000.0]",777,2.354008123,17.8467813,24.29379217,534.258,51.4125964
66,Study Loan,39999,23,1647.83,36,735,42,17075.61,Government Payroll,Male,Married,38,Department Public Services & Administration,other,17907,0,"(31.0, 41.0]","(17000.0, 25000.0]",777,2.342326726,10.8604283,24.25902003,459.1538462,51.4125964
67,Study Loan,39999,23,1633.99,36,735,42,16577.99,Government Payroll,Male,Married,57,National Defence Force,Soldier,29701.51,0,"(52.0, 100.0]","(25000.0, 30000.0]",777,2.412631891,18.16617227,24.46436981,512.095,51.4125964
68,Study Loan,39999,23,1620.67,36,735,42,16098.53,Government Payroll,Female,Single,38,Kwa-Zulu Natal Government Health,NURSE,17062.19,0,"(31.0, 41.0]","(17000.0, 25000.0]",777,2.484482466,10.52136995,24.66531415,437.4920513,51.4125964
69,Study Loan,39999,23,1641.13,36,735,42,16835.21,Government Payroll,Female,Married,46,Limpopo Province Education Department,EDUCATOR,26447,0,"(44.0, 49.0]","(25000.0, 30000.0]",777,2.37577222,16.10530226,24.35799845,562.7021277,51.4125964
70,Study Loan,39999,23,1638.77,36,735,42,16749.93,Government Payroll,Male,Married,54,Mpumalanga Finance,DATA TECHNOLOGIST,46856.1,0,"(52.0, 100.0]","(35000.0, 10000000000.0]",777,2.38786742,28.57480012,24.39305512,851.9290909,51.4125964
71,Study Loan,39999,23,1627.35,36,735,42,16338.91,Government Payroll,Female,Married COP,55,Western Cape Education,Teacher,33023.1,0,"(52.0, 100.0]","(30000.0, 35000.0]",777,2.4479327,20.28009949,24.56412933,589.6982143,51.4125964
72,Study Loan,39999,23,1640.15,36,735,42,16799.72,Government Payroll,Female,Single,47,GAUTENG DEPARTMENT OF HEALTH,DOCTOR,63565.43,0,"(44.0, 49.0]","(35000.0, 10000000000.0]",777,2.380790823,38.73224873,24.37254364,1324.279792,51.4125964
73,Study Loan,39999,23,1645.39,36,735,42,16987.58,Government Payroll,Female,Divorced,52,NATIONAL DEPARTMENT OF CORRECTIONAL SERVICES,OFFICER,32189.25,0,"(49.0, 52.0]","(30000.0, 35000.0]",777,2.354463999,19.55141248,24.29497264,607.3443396,51.4125964
74,Study Loan,39999,23,1638.67,36,735,42,16746.68,Government Payroll,Female,Single,38,KZN PROVINCIAL GOVERNMENT OF EDUCATION,FINANCIAL SUPPORT SERVICES,32839.94,0,"(31.0, 41.0]","(30000.0, 35000.0]",777,2.388330802,20.02838376,24.3945428,842.0497436,51.4125964
75,Study Loan,39999,23,1626.29,36,735,42,16300.71,Government Payroll,Female,Divorced,54,Gauteng Department Education,other,31999.44,0,"(52.0, 100.0]","(30000.0, 35000.0]",777,2.453668971,19.66425161,24.58013016,581.808,51.4125964
76,Study Loan,39999,23,1631.15,36,735,42,16475.3,Government Payroll,Female,Married COP,51,KZN PROVINCIAL GOVERNMENT OF EDUCATION,EDUCATOR,23255.75,0,"(49.0, 52.0]","(17000.0, 25000.0]",777,2.427668833,14.24853721,24.5069387,447.2259615,51.4125964
77,Study Loan,39999,23,1627.35,36,735,42,16338.91,Government Payroll,Female,Single,36,KZN PROV GOV PREMIER,Personal Assistant,25273.69,0,"(31.0, 41.0]","(25000.0, 30000.0]",777,2.4479327,15.52104277,24.56412933,683.0727027,51.4125964
78,Study Loan,39999,23,1645.47,36,735,42,16990.87,Government Payroll,Female,Single,38,Department Higher Education & Training,LECTURER,25617.94,0,"(31.0, 41.0]","(25000.0, 30000.0]",777,2.354008123,15.55931174,24.29379217,656.8702564,51.4125964
79,Study Loan,39999,23,1644.52,36,735,42,16956.29,Government Payroll,Female,Married,52,North West Health,NURSE,25325.44,0,"(49.0, 52.0]","(25000.0, 30000.0]",777,2.358808512,15.39053916,24.30781759,477.8384906,51.4125964
80,Study Loan,39999,23,1647.83,36,735,42,17075.61,Government Payroll,Female,Single,48,NATIONAL DEPARTMENT OF CORRECTIONAL SERVICES,SECURITY OFFICER,22150.94,0,"(44.0, 49.0]","(17000.0, 25000.0]",777,2.342326726,13.43433829,24.25902003,452.06,51.4125964
81,Study Loan,39999,23,1637.28,36,735,42,16696.08,Government Payroll,Male,Single,47,Sap,OFFICER,46567.69,0,"(44.0, 49.0]","(35000.0, 10000000000.0]",777,2.395568566,28.42474424,24.41524037,970.1602083,51.4125964
82,Study Loan,39999,23,1639.11,36,735,42,16761.38,Government Payroll,Male,Single,31,Gauteng Department Education,TECHER,23686.5,0,"(0.0, 31.0]","(17000.0, 25000.0]",777,2.386236322,14.44201913,24.38799837,740.203125,51.4125964
83,Study Loan,39999,23,1634.31,36,735,42,16589.49,Government Payroll,Female,Widowed,49,Mpumalanga Health,NURSE,46259.36,0,"(44.0, 49.0]","(35000.0, 10000000000.0]",777,2.410959532,28.2878231,24.45958259,925.1872,51.4125964
84,Study Loan,39999,23,1642.4,36,735,42,16880.4,Government Payroll,Male,Single,40,Department Labour,SECURITY OFFICE,14500.19,0,"(31.0, 41.0]","(12000.0, 17000.0]",777,2.369412489,8.823287088,24.33917488,353.6631707,51.4125964
85,Study Loan,39999,23,1640.45,36,735,42,16810.55,Government Payroll,Male,Married,52,Sap,WARRANT OFFICER,36932.86,0,"(49.0, 52.0]","(35000.0, 10000000000.0]",777,2.379257118,22.50014317,24.36808919,696.8464151,51.4125964
86,Study Loan,39999,23,1626.41,36,735,42,16304.87,Government Payroll,Female,Single,52,Department Public Services & Administration,ADMINISTRATION,35265.19,0,"(49.0, 52.0]","(35000.0, 10000000000.0]",777,2.453042984,21.66951782,24.57831769,665.3809434,51.4125964
87,Study Loan,39999,23,1644.01,36,735,42,16938.33,Government Payroll,Male,Married,39,KZN PROVINCIAL GOVERNMENT OF EDUCATION,Teacher,26293.85,0,"(31.0, 41.0]","(25000.0, 30000.0]",777,2.36130945,15.98400618,24.31535371,657.34625,51.4125964
88,Study Loan,39999,23,1636.35,36,735,42,16662.34,Government Payroll,Female,Single,53,Mpumalanga Education,Teacher,20373.94,0,"(52.0, 100.0]","(17000.0, 25000.0]",777,2.400419124,12.4432406,24.42910801,377.2951852,51.4125964
89,Study Loan,39999,23,1645.39,36,735,42,16987.58,Government Payroll,Male,Married,52,RURAL DEVELOPMENT AND LAND REFORM,GENERAL WORK,11673.19,0,"(49.0, 52.0]","(0.0, 12000.0]",777,2.354463999,7.090173045,24.29497264,220.2488679,51.4125964
90,Study Loan,39999,23,1632.41,36,735,42,16520.84,Government Payroll,Female,Divorced,57,Sap,CAPTAIN,38812.19,0,"(52.0, 100.0]","(35000.0, 10000000000.0]",777,2.420977325,23.76144997,24.48803424,669.1756897,51.4125964
91,Study Loan,39999,23,1628.61,36,735,42,16383.87,Government Payroll,Male,Married COP,45,Sap,POLICE OFFICER,19839.17,0,"(44.0, 49.0]","(17000.0, 25000.0]",777,2.441215585,12.17418278,24.54513657,431.2863043,51.4125964
92,Study Loan,39999,23,1638.77,36,735,42,16749.93,Government Payroll,Female,Married,49,NORTH WEST EDUCATION AND SPORTS DEVELOPMENT,EDUCATOR,30160.19,0,"(44.0, 49.0]","(30000.0, 35000.0]",777,2.38786742,18.39293925,24.39305512,603.2038,51.4125964
93,Study Loan,39999,23,1629.25,36,735,42,16406.56,Government Payroll,Female,Single,47,GAUTENG DEPARTMENT OF HEALTH,DOCTOR,63565.43,0,"(44.0, 49.0]","(35000.0, 10000000000.0]",777,2.43783963,38.99121607,24.53550069,1324.279792,51.4125964
94,Study Loan,39999,23,1639.65,36,735,42,16781,Government Payroll,Male,Married,47,"NORTHERN CAPE COOPERATIVE GOVERNANCE, HUMAN SETTLEMENTS AND TRADITIONAL AFFAIRS",WELLNESS MANAGER,36808.69,0,"(44.0, 49.0]","(35000.0, 10000000000.0]",777,2.38344655,22.43543108,24.37997135,766.8477083,51.4125964
95,Study Loan,39999,23,1634.45,36,735,42,16593.68,Government Payroll,Female,Married,49,INTERNATIONAL RELATIONS AND COOPERATION,other,60629.88,0,"(44.0, 49.0]","(35000.0, 10000000000.0]",777,2.410350787,37.07229203,24.45748876,1212.5976,51.4125964
96,Study Loan,39999,23,1625.46,36,735,42,16270.49,Government Payroll,Female,Married,44,Limpopo Province Education Department,EDUCATOR,25802.85,0,"(41.0, 44.0]","(25000.0, 30000.0]",777,2.458226014,15.86442335,24.59267366,573.3966667,51.4125964
97,Study Loan,39999,23,1649.21,36,735,42,17126.14,Government Payroll,Female,Single,44,Limpopo Province Education Department,Teacher,26477.19,0,"(41.0, 44.0]","(25000.0, 30000.0]",777,2.335416187,16.04473976,24.23873325,588.382,51.4125964
98,Study Loan,39999,23,1632.13,36,735,42,16510.47,Government Payroll,Female,Divorced,54,KZN PROVINCIAL GOVERNMENT OF EDUCATION,other,34383.69,0,"(52.0, 100.0]","(30000.0, 35000.0]",777,2.422497815,21.05385977,24.49223271,625.158,51.4125964
99,Study Loan,39999,23,1627.35,36,735,42,16338.91,Government Payroll,Female,Single,51,GAUTENG DEPARTMENT OF HEALTH,admin,11648.11,0,"(49.0, 52.0]","(0.0, 12000.0]",777,2.4479327,7.153320846,24.56412933,224.0021154,51.4125964
100,Study Loan,39999,23,1637.28,36,735,42,16696.08,Government Payroll,Female,Single,49,NATIONAL DEPARTMENT JUSTICE CONSTITUTIONAL DEVELOPMENT,SECETARY,32554.19,0,"(44.0, 49.0]","(30000.0, 35000.0]",777,2.395568566,19.87095612,24.41524037,651.0838,51.4125964
101,Study Loan,39999,23,1625.46,36,735,42,16270.49,Government Payroll,Female,Single,42,Kwa-Zulu Natal Government Health,NURSE,23569.53,0,"(41.0, 44.0]","(17000.0, 25000.0]",777,2.458226014,14.49130627,24.59267366,548.1286047,51.4125964
102,Study Loan,39999,23,1620.05,36,735,42,16075.27,Government Payroll,Female,Widowed,49,NORTH WEST EDUCATION AND SPORTS DEVELOPMENT,EDUCATOR,36872.1,0,"(44.0, 49.0]","(35000.0, 10000000000.0]",777,2.488077147,22.7458129,24.67474785,737.442,51.4125964
103,Study Loan,39999,23,1647.17,36,735,42,17052.35,Government Payroll,Male,Married COP,54,Eastern Cape Education Department,EDUCATOR,42399.59,0,"(52.0, 100.0]","(35000.0, 10000000000.0]",777,2.345521554,25.72525286,24.26873441,770.9016364,51.4125964
104,Study Loan,39999,23,1631.15,36,735,42,16475.3,Government Payroll,Female,Single,53,Limpopo Province Education Department,other,33717.44,0,"(52.0, 100.0]","(30000.0, 35000.0]",777,2.427668833,20.65829734,24.5069387,624.397037,51.4125964
105,Study Loan,39999,23,1627.79,36,735,42,16353.94,Government Payroll,Female,Married,50,Gauteng Department Education,Deputy principal,34633.22,0,"(49.0, 52.0]","(30000.0, 35000.0]",777,2.445683078,21.26315854,24.5574936,679.0827451,51.4125964
